county_name,population,prison_population
Durham County,11495491,66550
Dutchess County,15663079,39618
Duval County,41414715,402673
Dyer County,2242173,21160
Eagle County,2339973,4160
Early County,543868,5974
East Baton Rouge Parish,7646075,52617
East Carroll Parish,142065,2150
East Feliciana Parish,314038,2651
Eastland County,808381,10869
Eaton County,6560978,27452
Eau Claire County,5668997,15404
Echols County,158623,521
Ector County,7685309,71252
Eddy County,79828,115
Edgar County,852093,3913
Edgecombe County,2478125,18185
Edgefield County,1322241,10313
Edmonson County,639690,2414
Edmunds County,56118,102
Edwards County,312711,1613
Effingham County,3837651,16942
El Dorado County,9554714,32214
El Paso County,70138966,354079
Elbert County,1973719,12821
Elk County,1785673,3555
Elkhart County,5250939,67055
Elko County,1691858,10006
Elliott County,323185,1289
Ellis County,6218250,41117
Elmore County,4147577,19810
Emanuel County,1279215,13700
Emery County,519260,2346
Emmet County,2009019,8699
Emmons County,84575,167
Emporia city,221913,0
Erath County,1791946,15623
Erie County,71449952,300605
Escambia County,18708379,204179
Esmeralda County,31108,478
Essex County,63805216,415436
Estill County,819164,3220
Etowah County,6583371,62299
Eureka County,52161,416
Evangeline Parish,593193,5789
Evans County,509734,5996
Fairfax County,54205036,98344
Fairfax city,468523,108
Fairfield County,6384626,23713
Fall River County,340999,1895
Falls Church city,322173,0
Falls County,811359,8448
Fannin County,2513673,22505
Faribault County,602737,1028
Faulk County,22296,36
Fauquier County,2911301,15873
Fayette County,40958438,233073
Fentress County,1012244,5591
Ferry County,355299,1051
Fillmore County,1080085,1461
Fisher County,151961,1059
Flagler County,2877270,12395
Fleming County,734574,3157
Florence County,8365625,78891
Floyd County,11295889,80517
Fluvanna County,865800,2998
Foard County,12456,87
Fond du Lac County,5622082,18787
Ford County,597108,1896
Forest County,810191,3721
Forrest County,3305608,28369
Forsyth County,21335783,130441
Fort Bend County,20010433,53123
Foster County,85410,38
Fountain County,387762,1837
Franklin County,86135181,457901
Franklin Parish,395971,4253
Franklin city,118711,31
Frederick County,14655163,40564
Fredericksburg city,1197481,16798
Freeborn County,1393970,1864
Freestone County,863946,10041
Fremont County,3695009,20800
Fresno County,48957571,381707
Frio County,625653,4400
Frontier County,55694,126
Fulton County,61744628,446922
Furnas County,123039,222
Gadsden County,2223618,36247
Gage County,1208065,3729
Gaines County,717981,5388
Galax city,316227,0
Gallatin County,673137,3096
Gallia County,1047001,4363
Galveston County,12952049,95509
Garden County,78038,199
Garfield County,6242911,47088
Garrard County,758799,3377
Garrett County,1538723,4100
Garvin County,1448692,6166
Garza County,269959,2853
Gasconade County,727855,3555
Gaston County,9453564,56471
Gates County,345039,1442
Geauga County,3372182,4697
Genesee County,29793670,249417
Geneva County,1519659,7901
Gentry County,302844,944
George County,735424,2876
Georgetown County,3241761,25832
Gibson County,3819231,21931
Gila County,1493830,15810
Gilchrist County,575150,2316
Giles County,2532723,12135
Gillespie County,797432,3256
Gilliam County,49184,216
Gilmer County,1483568,10231
Gilpin County,238207,1709
Glades County,444519,2794
Gladwin County,1168624,4079
Glascock County,102198,398
Glasscock County,33493,52
Glenn County,1318170,9509
Gloucester County,17624824,37158
Glynn County,4394449,42818
Gogebic County,839888,1860
Golden Valley County,31491,8
Goliad County,296362,2705
Gonzales County,760443,8194
Goochland County,846720,3788
Goodhue County,1884327,2671
Gordon County,2836319,24542
Goshen County,210079,1400
Gosper County,83307,380
Grady County,4050532,41589
Grafton County,4117029,7403
Graham County,1352196,10610
Grainger County,1183358,6988
Grand County,997939,4321
Grand Forks County,3943361,8653
Grand Traverse County,4444931,18014
Grant County,11187122,47712
Grant Parish,246941,719
Granville County,2535626,11074
Gratiot County,2086254,8977
Graves County,2026849,11085
Gray County,1009705,8997
Grays Harbor County,3700457,17626
Grayson County,6910025,62224
Greeley County,97114,16
Green County,2208738,4337
Green Lake County,1061496,3236
Greenbrier County,1648643,4543
Greene County,35164599,173471
Greenlee County,217583,1869
Greensville County,612813,10343
Greenup County,1986493,7111
Greenville County,25119259,201301
Greenwood County,4167944,36360
Greer County,301640,3519
Gregg County,6001477,83058
Gregory County,139555,700
Grenada County,958531,10076
Griggs County,60400,103
Grimes County,1147835,9566
Grundy County,3800880,10950
Guadalupe County,4662480,29041
Guernsey County,1281865,6178
Guilford County,21194947,170503
Gulf County,691950,6014
Gunnison County,774130,1421
Guthrie County,256762,552
Gwinnett County,38787216,125319
Haakon County,131505,0
Habersham County,2043901,8610
Hale County,2432700,21924
Halifax County,4346940,36513
Hall County,12168752,70003
Hamblen County,3745713,22799
Hamilton County,66392959,409633
Hamlin County,161502,309
Hampden County,7381459,35013
Hampshire County,3597841,4952
Hampton County,991934,6404
Hampton city,7853301,69509
Hancock County,11274365,42046
Hand County,120795,329
Hanover County,4124036,23481
Hansford County,189386,640
Hanson County,105858,96
Haralson County,1462418,7971
Hardee County,1177132,10012
Hardeman County,1733870,9538
Hardin County,11491702,55104
Harding County,11763,0
Hardy County,553838,1117
Harford County,13436257,48902
Harlan County,2106431,11186
Harmon County,126912,1103
Harnett County,4318457,23404
Harney County,359858,1572
Harper County,123158,521
Harris County,184466719,1748963
Harrison County,18561612,109554
Harrisonburg city,2593839,0
Hart County,2238349,12901
Hartley County,167161,499
Haskell County,887188,7195
Hawaii County,8240089,20106
Hawkins County,3279726,14041
Hayes County,61122,0
Hays County,5874921,32029
Haywood County,3570869,18413
Heard County,543465,3734
Hemphill County,172805,902
Henderson County,12258677,81428
Hendricks County,3866893,10287
Hendry County,1665407,11074
Hennepin County,64299071,161924
Henrico County,13807962,79260
Henry County,21224789,131210
Herkimer County,3346063,8908
Hernando County,6045462,36611
Hertford County,1214708,11111
Hettinger County,92414,4
Hickman County,1542844,9351
Hickory County,348669,1915
Hidalgo County,27097524,139814
Highland County,1539703,8210
Highlands County,3505659,38231
Hill County,1243576,14801
Hillsborough County,74765082,539228
Hillsdale County,2665676,17187
Hinds County,11775561,65608
Hinsdale County,20592,0
Hitchcock County,105130,287
Hocking County,1097300,4158
Hockley County,1167478,7316
Hoke County,1755365,12252
Holmes County,2696752,14395
Holt County,755813,2294
Honolulu County,59092765,137238
Hood County,1748267,22630
Hood River County,888454,2109
Hooker County,23817,0
Hopewell city,1110603,12472
Hopkins County,4412813,40166
Horry County,12989194,90843
Hot Springs County,74885,438
Houghton County,1981976,2231
Houston County,15725501,137974
Howard County,20270174,61964
Howell County,1862901,8533
Hubbard County,834307,1655
Hudson County,40245721,190114
Hudspeth County,138210,955
Huerfano County,298040,1464
Hughes County,1526495,11371
Humboldt County,8713087,45932
Humphreys County,1361766,8188
Hunt County,3644199,30400
Hunterdon County,7513108,11147
Huntingdon County,2472481,5853
Huntington County,1029138,11129
Huron County,3541343,9256
Hutchinson County,1335662,6842
Hyde County,198177,1180
Iberia Parish,1289462,9421
Iberville Parish,609171,4507
Ida County,166272,426
Imperial County,8326017,26213
Indian River County,5200147,42657
Indiana County,5130771,9591
Ingham County,18789719,92820
Inyo County,928362,5582
Ionia County,3500599,10892
Iosco County,1276501,6094
Iowa County,1670739,2155
Iredell County,5875522,32866
Irion County,38992,247
Iron County,3206458,14590
Iroquois County,1233102,3617
Irwin County,430755,4565
Isabella County,4171923,14833
Isanti County,1444772,2229
Island County,3537042,5032
Isle of Wight County,1345387,7311
Issaquena County,43352,186
Itasca County,2222324,6303
Itawamba County,926036,4102
Jack County,323374,2104
Jackson County,90844876,592291
Jackson Parish,267538,1931
James City County,1449243,3363
Jasper County,12434838,73497
Jay County,519272,4359
Jeff Davis County,746619,5002
Jefferson County,174705336,1143870
Jefferson Davis County,474476,2876
Jefferson Davis Parish,494291,3445
Jefferson Parish,9517915,60874
Jenkins County,459641,6035
Jennings County,779919,5636
Jerauld County,38657,8
Jersey County,1140400,3557
Jessamine County,2203377,8800
Jim Hogg County,217476,1164
Jim Wells County,1980926,9419
Jo Daviess County,1025885,1246
Johnson County,21395042,113314
Johnston County,6688832,34028
Jones County,6378523,36371
Josephine County,4103872,25083
Juab County,338421,1668
Juneau County,1338211,4504
Juniata County,1174341,2497
Kalamazoo County,15270758,109699
Kalawao County,9996,0
Kalkaska County,868998,7541
Kanabec County,615431,1784
Kanawha County,9468588,24938
Kandiyohi County,1991506,5085
Kane County,24132368,77019
Kankakee County,6013680,31844
Karnes County,627526,6861
Kauai County,2971804,7946
Kaufman County,3690772,22997
Kay County,2733513,19171
Kearney County,185448,267
Keith County,394873,793
Kemper County,346612,1545
Kendall County,4844393,10393
Kenedy County,15598,432
Kennebec County,3730894,10919
Kenosha County,9255919,87657
Kent County,35920205,252342
Kenton County,9233427,55560
Keokuk County,381916,645
Kern County,41148309,370802
Kerr County,2035506,19919
Kershaw County,3227928,17184
Kewaunee County,847098,1379
Keweenaw County,40317,0
Keya Paha County,44301,0
Kidder County,46127,28
Kimball County,151962,485
Kimble County,157427,1467
King County,111428475,314025
King George County,841619,3721
King William County,629907,2741
King and Queen County,245471,1707
Kingfisher County,761015,3711
Kings County,7980801,80508
Kingsbury County,217176,611
Kinney County,81039,347
Kiowa County,563610,5000
Kit Carson County,376500,986
Kitsap County,13848181,43418
Kittitas County,2081776,5117
Kittson County,104765,157
Klamath County,3777527,19559
Kleberg County,1549088,13311
Klickitat County,857317,2621
Knott County,961240,2920
Knox County,35324588,168078
Koochiching County,591754,784
Kosciusko County,2048293,8530
Kossuth County,429804,493
La Crosse County,6870786,23087
La Paz County,500846,5107
La Plata County,2544137,10133
La Salle County,227814,1843
La Salle Parish,227577,1218
LaGrange County,837967,3928
LaMoure County,102561,48
LaPorte County,3101092,16876
LaSalle County,6287672,28016
Lac qui Parle County,221074,325
Lackawanna County,13088138,53291
Laclede County,1821915,16591
Lafayette County,5079609,32911
Lafayette Parish,3561463,18759
Lafourche Parish,1630250,8191
Lake County,76780800,301396
Lake of the Woods County,95942,109
Lamar County,5472055,52251
Lamb County,542978,3862
Lampasas County,753275,7863
Lancaster County,49626330,167004
Lander County,168292,675
Lane County,20138136,105430
Langlade County,993439,4301
Lanier County,369660,2947
Lapeer County,4590588,12703
Laramie County,1820049,10311
Larimer County,16225751,56771
Larue County,704204,3368
Las Animas County,751477,4071
Lassen County,2009195,11121
Latimer County,555140,2384
Lauderdale County,10585984,64069
Laurel County,3028252,20719
Laurens County,6901888,51573
Lavaca County,713077,3757
Lawrence County,18583094,91913
Le Flore County,2508906,12489
Le Sueur County,1088519,1469
Leake County,736065,4921
Lebanon County,7210132,32450
Lee County,44663147,262457
Leelanau County,944913,2886
Leflore County,1632216,12956
Lehigh County,19545739,78126
Lenawee County,6042785,32035
Lenoir County,2687533,26071
Leon County,14317912,128307
Leslie County,641786,1491
Letcher County,1599594,5968
Levy County,1634842,13255
Lewis County,7213041,38257
Lexington County,14172081,71864
Lexington city,472086,0
Liberty County,8049046,63343
Licking County,6381500,32801
Limestone County,5074150,26260
Lincoln County,21890050,102634
Lincoln Parish,875863,4876
Linn County,13444188,59095
Lipscomb County,113664,516
Live Oak County,460289,4181
Livingston County,16345010,63277
Livingston Parish,1454738,5777
Llano County,596100,3608
Logan County,9891151,46658
Long County,612033,5574
Lorain County,12336552,68297
Los Angeles County,595997388,4192597
Loudon County,2158882,5145
Loudoun County,8105683,14423
Louisa County,1561069,5479
Loup County,40764,0
Love County,416483,2906
Loving County,5880,0
Lowndes County,9363603,75459
Lubbock County,14098386,138818
Lucas County,20368690,134522
Luce County,350982,1535
Lumpkin County,1338047,5920
Lunenburg County,583122,4806
Luzerne County,20413254,43951
Lycoming County,7605658,39340
Lyman County,107470,406
Lynchburg city,3554603,38361
Lynn County,242423,2465
Lyon County,3190865,13723
Mackinac County,521264,1613
Macomb County,50274796,138914
Macon County,11054958,90607
Macoupin County,2053867,5412
Madera County,7220905,54193
Madison County,62257980,367182
Madison Parish,229698,3905
Magoffin County,784890,1770
Mahaska County,623063,2789
Mahnomen County,163409,1139
Mahoning County,10880477,50454
Major County,296034,479
Malheur County,1597769,9637
Manassas Park city,642159,0
Manassas city,2040330,0
Manatee County,12580384,88313
Manistee County,1224113,4134
Manitowoc County,4524507,10880
Marathon County,7206529,21165
Marengo County,1165495,7018
Maricopa County,114942957,1093180
Maries County,330190,1030
Marin County,15244014,30052
Marinette County,2278475,11245
Marion County,73128747,624481
Mariposa County,667685,2474
Marlboro County,1657102,14912
Marquette County,5005473,9785
Marshall County,15884153,77093
Martin County,9122622,73920
Martinsville city,758282,18800
Mason County,7116305,36965
Massac County,688189,3546
Matagorda County,1936768,17511
Mathews County,356686,1305
Maui County,7457628,22254
Maury County,4244410,23922
Maverick County,1855300,4898
Mayes County,1967719,10042
McClain County,1547072,5280
McCook County,214550,627
McCormick County,518097,4873
McCracken County,3964372,45119
McCreary County,1051104,5879
McCulloch County,324414,2340
McCurtain County,1882861,15151
McDonald County,975469,6092
McDonough County,1655473,3268
McDowell County,3329082,9479
McDuffie County,1265156,16195
McHenry County,14458233,17458
McIntosh County,1557222,13978
McKean County,2448498,7105
McKenzie County,284373,470
McLean County,9632121,54420
McLennan County,11008096,121812
McLeod County,1480947,2601
McMinn County,3074019,17698
McMullen County,11373,48
McNairy County,1392556,4537
McPherson County,91779,6517
Meade County,2710035,13834
Mecklenburg County,37138867,155750
Mecosta County,2379512,9907
Medina County,8071803,24303
Meeker County,983629,1533
Meigs County,1225830,5187
Mellette County,57550,453
Menard County,671589,1862
Mendocino County,5183574,28253
Menifee County,298362,1123
Menominee County,1332492,2743
Merced County,12788981,78123
Mercer County,35716912,170155
Meriwether County,1328795,15582
Merrick County,280926,716
Merrimack County,6980715,25836
Mesa County,7237395,58519
Metcalfe County,461461,1697
Miami County,4963726,19634
Miami-Dade County,116218041,591568
Middlesex County,74100448,157952
Midland County,10762101,75765
Mifflin County,2707626,7967
Milam County,1035698,13069
Millard County,566594,1618
Mille Lacs County,1096798,4167
Miller County,1486600,13132
Mills County,590416,2171
Milwaukee County,59928939,581045
Miner County,72313,253
Mineral County,1475770,3815
Mingo County,1271015,4464
Minnehaha County,8493009,42338
Missaukee County,623080,2950
Mississippi County,763839,11416
Mitchell County,2729929,26520
Mobile County,25602062,220479
Modoc County,412272,2589
Moffat County,748664,5001
Mohave County,5432773,57833
Moniteau County,787556,3533
Monmouth County,36341843,128889
Mono County,578267,1113
Monona County,274905,416
Monongalia County,4305533,5129
Monroe County,78608604,389856
Montague County,763883,6074
Montcalm County,3307413,15528
Monterey County,24151029,121486
Montezuma County,1237576,4960
Montgomery County,180288502,692566
Montmorency County,435290,1688
Montour County,865801,2341
Montrose County,1663468,6662
Moody County,279963,1089
Moore County,4616352,31591
Morehouse Parish,520679,5095
Morgan County,17499597,95985
Morrill County,182135,478
Morris County,29623611,39641
Morrison County,1379124,2248
Morrow County,1515484,4019
Morton County,1436201,4724
Motley County,23608,195
Moultrie County,637124,1911
Mountrail County,227019,187
Mower County,1777752,4958
Muhlenberg County,1858258,13115
Multnomah County,42615912,254107
Murray County,2935311,17604
Muscatine County,1297553,5599
Muscogee County,12185095,128977
Muskegon County,10339344,122187
Muskingum County,3565891,18701
Muskogee County,4036390,37233
Nacogdoches County,3094022,28059
Nance County,108818,228
Nantucket County,88982,76
Napa County,7575138,30029
Nash County,4117912,23059
Nassau County,75658498,186045
Natchitoches Parish,680047,5231
Natrona County,1511231,13131
Navajo County,3111598,24000
Navarro County,2043540,29000
Nelson County,2778517,13414
Nemaha County,226470,542
Neshoba County,1134035,7706
Nevada County,4807167,11346
New Hanover County,10206472,76701
New Kent County,668786,2821
New Madrid County,1158015,18006
New York County,470046753,3085710
Newaygo County,2634749,11025
Newberry County,2242793,20626
Newport News city,10183930,89846
Newton County,9020069,62006
Niagara County,11642861,42855
Nicholas County,1551599,5402
Nicollet County,1406915,1353
Niobrara County,34852,124
Noble County,2190921,14134
Nobles County,723364,1056
Nodaway County,1262918,4821
Nolan County,711800,8556
Norfolk County,10850020,9681
Norfolk city,14478302,186498
Norman County,184910,377
Northampton County,18023581,54993
